Designator,Mid X,Mid Y,Layer,Rotation
D1,64.82,73.78,T,90.00
D1,64.82,55.78,T,90.00
D1,105.82,91.78,T,90.00
D1,23.82,25.78,T,90.00
D1,23.82,91.78,T,90.00
D1,23.82,7.78,T,90.00
D1,105.82,55.78,T,90.00
D1,23.82,43.78,T,90.00
D1,23.82,64.78,T,90.00
D1,64.82,43.78,T,90.00
D1,105.82,34.78,T,90.00
D1,105.82,16.78,T,90.00
D1,105.82,73.78,T,90.00
D1,23.82,16.78,T,90.00
D1,105.82,64.78,T,90.00
D1,64.82,16.78,T,90.00
D1,23.82,34.78,T,90.00
D1,105.82,43.78,T,90.00
D1,105.82,7.78,T,90.00
D1,64.82,25.78,T,90.00
D1,23.82,73.78,T,90.00
D1,105.82,82.78,T,90.00
D1,64.82,7.78,T,90.00
D1,64.82,64.78,T,90.00
D1,64.82,34.78,T,90.00
D1,64.82,82.78,T,90.00
D1,64.82,91.78,T,90.00
D1,105.82,25.78,T,90.00
D1,23.82,55.78,T,90.00
D1,23.82,82.78,T,90.00
F1,103.62,92.68,T,90.00
F1,62.62,65.68,T,90.00
F1,103.62,83.68,T,90.00
F1,21.62,8.68,T,90.00
F1,21.62,44.68,T,90.00
F1,21.62,17.68,T,90.00
F1,62.62,44.68,T,90.00
F1,21.62,92.68,T,90.00
F1,21.62,74.68,T,90.00
F1,62.62,74.68,T,90.00
F1,62.62,35.68,T,90.00
F1,103.62,26.68,T,90.00
F1,62.62,56.68,T,90.00
F1,62.62,26.68,T,90.00
F1,21.62,56.68,T,90.00
F1,21.62,65.68,T,90.00
F1,62.62,92.68,T,90.00
F1,62.62,8.68,T,90.00
F1,21.62,83.68,T,90.00
F1,103.62,44.68,T,90.00
F1,62.62,17.68,T,90.00
F1,62.62,83.68,T,90.00
F1,103.62,17.68,T,90.00
F1,103.62,65.68,T,90.00
F1,21.62,35.68,T,90.00
F1,103.62,74.68,T,90.00
F1,103.62,35.68,T,90.00
F1,21.62,26.68,T,90.00
F1,103.62,56.68,T,90.00
F1,103.62,8.68,T,90.00
FB1,27.22,78.98,T,270.00
FB1,68.22,87.98,T,270.00
FB1,109.22,21.98,T,270.00
FB1,27.22,48.98,T,270.00
FB1,109.22,30.98,T,270.00
FB1,68.22,96.98,T,270.00
FB1,27.22,96.98,T,270.00
FB1,68.22,48.98,T,270.00
FB1,109.22,96.98,T,270.00
FB1,68.22,30.98,T,270.00
FB1,27.22,30.98,T,270.00
FB1,109.22,39.98,T,270.00
FB1,27.22,69.98,T,270.00
FB1,68.22,12.98,T,270.00
FB1,27.22,12.98,T,270.00
FB1,68.22,69.98,T,270.00
FB1,27.22,60.98,T,270.00
FB1,109.22,87.98,T,270.00
FB1,68.22,21.98,T,270.00
FB1,27.22,21.98,T,270.00
FB1,109.22,69.98,T,270.00
FB1,68.22,60.98,T,270.00
FB1,109.22,48.98,T,270.00
FB1,109.22,60.98,T,270.00
FB1,109.22,12.98,T,270.00
FB1,68.22,39.98,T,270.00
FB1,109.22,78.98,T,270.00
FB1,68.22,78.98,T,270.00
FB1,27.22,87.98,T,270.00
FB1,27.22,39.98,T,270.00
J1,115.60,77.30,T,180.00
J1,33.60,11.30,T,180.00
J1,115.60,59.30,T,180.00
J1,33.60,20.30,T,180.00
J1,33.60,59.30,T,180.00
J1,33.60,77.30,T,180.00
J1,74.60,95.30,T,180.00
J1,33.60,38.30,T,180.00
J1,74.60,68.30,T,180.00
J1,33.60,68.30,T,180.00
J1,115.60,86.30,T,180.00
J1,33.60,95.30,T,180.00
J1,74.60,11.30,T,180.00
J1,115.60,68.30,T,180.00
J1,115.60,29.30,T,180.00
J1,33.60,47.30,T,180.00
J1,74.60,20.30,T,180.00
J1,115.60,95.30,T,180.00
J1,74.60,38.30,T,180.00
J1,115.60,11.30,T,180.00
J1,33.60,86.30,T,180.00
J1,74.60,77.30,T,180.00
J1,74.60,47.30,T,180.00
J1,115.60,47.30,T,180.00
J1,74.60,59.30,T,180.00
J1,74.60,86.30,T,180.00
J1,115.60,20.30,T,180.00
J1,74.60,29.30,T,180.00
J1,33.60,29.30,T,180.00
J1,115.60,38.30,T,180.00
J2,16.50,36.00,T,0.00
J2,16.50,75.00,T,0.00
J2,98.50,45.00,T,0.00
J2,16.50,18.00,T,0.00
J2,16.50,57.00,T,0.00
J2,98.50,27.00,T,0.00
J2,98.50,9.00,T,0.00
J2,16.50,84.00,T,0.00
J2,16.50,45.00,T,0.00
J2,98.50,36.00,T,0.00
J2,57.50,45.00,T,0.00
J2,57.50,36.00,T,0.00
J2,16.50,93.00,T,0.00
J2,57.50,84.00,T,0.00
J2,98.50,18.00,T,0.00
J2,98.50,93.00,T,0.00
J2,57.50,18.00,T,0.00
J2,98.50,84.00,T,0.00
J2,57.50,66.00,T,0.00
J2,57.50,9.00,T,0.00
J2,98.50,57.00,T,0.00
J2,57.50,27.00,T,0.00
J2,57.50,57.00,T,0.00
J2,57.50,93.00,T,0.00
J2,16.50,66.00,T,0.00
J2,16.50,27.00,T,0.00
J2,98.50,66.00,T,0.00
J2,16.50,9.00,T,0.00
J2,57.50,75.00,T,0.00
J2,98.50,75.00,T,0.00
R1,26.52,74.18,T,90.00
R1,26.52,83.18,T,90.00
R1,67.52,8.18,T,90.00
R1,67.52,35.18,T,90.00
R1,67.52,92.18,T,90.00
R1,26.52,8.18,T,90.00
R1,26.52,35.18,T,90.00
R1,26.52,56.18,T,90.00
R1,26.52,65.18,T,90.00
R1,108.52,26.18,T,90.00
R1,108.52,65.18,T,90.00
R1,26.52,92.18,T,90.00
R1,67.52,56.18,T,90.00
R1,108.52,92.18,T,90.00
R1,108.52,44.18,T,90.00
R1,67.52,65.18,T,90.00
R1,108.52,83.18,T,90.00
R1,67.52,83.18,T,90.00
R1,26.52,44.18,T,90.00
R1,108.52,8.18,T,90.00
R1,108.52,56.18,T,90.00
R1,67.52,26.18,T,90.00
R1,108.52,17.18,T,90.00
R1,26.52,17.18,T,90.00
R1,108.52,35.18,T,90.00
R1,67.52,44.18,T,90.00
R1,67.52,74.18,T,90.00
R1,67.52,17.18,T,90.00
R1,108.52,74.18,T,90.00
R1,26.52,26.18,T,90.00
R2,25.32,74.18,T,270.00
R2,25.32,92.18,T,270.00
